##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track2_infill_bars138_142_generationtime_9.60545802116394.midi | 1.00 | 0.00 | 1 | 1 | 4.50 | 3.77 | 10 | 1
track2_infill_bars141_145_generationtime_13.253891468048096.midi | 1.25 | 0.43 | 2 | 1 | 3.25 | 0.83 | 4 | 2
track2_infill_bars141_145_generationtime_6.320584774017334.midi | 1.25 | 0.43 | 2 | 1 | 2.00 | 0.71 | 3 | 1
track2_infill_bars141_145_generationtime_9.674744606018066.midi | 1.25 | 0.43 | 2 | 1 | 2.25 | 0.43 | 3 | 2
track2_infill_bars14_18_generationtime_11.53005576133728.midi | 1.62 | 0.48 | 2 | 1 | 1.50 | 0.87 | 3 | 1
track2_infill_bars14_18_generationtime_5.986170768737793.midi | 1.62 | 0.48 | 2 | 1 | 1.50 | 0.87 | 3 | 1
track2_infill_bars14_18_generationtime_6.506027698516846.midi | 1.62 | 0.48 | 2 | 1 | 1.75 | 0.83 | 3 | 1
track2_infill_bars18_22_generationtime_5.812007427215576.midi | 1.25 | 0.43 | 2 | 1 | 1.00 | 0.00 | 1 | 1
track2_infill_bars18_22_generationtime_5.885004043579102.midi | 1.25 | 0.43 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track2_infill_bars18_22_generationtime_6.243994951248169.midi | 1.25 | 0.43 | 2 | 1 | 1.00 | 0.00 | 1 | 1
track2_infill_bars21_25_generationtime_11.770995378494263.midi | 1.75 | 0.43 | 2 | 1 | 2.25 | 1.09 | 4 | 1
track2_infill_bars21_25_generationtime_6.2120208740234375.midi | 1.75 | 0.43 | 2 | 1 | 1.75 | 0.83 | 3 | 1
track2_infill_bars21_25_generationtime_6.529999494552612.midi | 1.75 | 0.43 | 2 | 1 | 1.75 | 0.43 | 2 | 1
track2_infill_bars31_35_generationtime_11.650994539260864.midi | 2.00 | 0.00 | 2 | 2 | 1.25 | 0.43 | 2 | 1
track2_infill_bars31_35_generationtime_6.556996583938599.midi | 2.00 | 0.00 | 2 | 2 | 2.25 | 0.43 | 3 | 2
track2_infill_bars31_35_generationtime_6.842999696731567.midi | 2.00 | 0.00 | 2 | 2 | 3.50 | 1.12 | 5 | 2
track2_infill_bars38_42_generationtime_10.223361015319824.midi | 2.00 | 0.00 | 2 | 2 | 1.25 | 0.43 | 2 | 1
track2_infill_bars38_42_generationtime_13.764520406723022.midi | 2.00 | 0.00 | 2 | 2 | 2.50 | 1.12 | 4 | 1
track2_infill_bars38_42_generationtime_9.768852233886719.midi | 2.00 | 0.00 | 2 | 2 | 1.50 | 0.50 | 2 | 1
