##### GLOBAL STATISTICS #####
N-gram | Mean | Std. Dev. | Median | Min | Max
---------------------------------------------
2-note | 2.50 | 2.10 | 2.00 | 0 | 9
3-note | 2.70 | 2.73 | 2.00 | 0 | 11
4-note | 2.91 | 3.45 | 2.00 | 0 | 14
2-note-ratio | 40.87 | 33.99 | 40.00 | 0.0 | 100.0
3-note-ratio | 31.41 | 33.33 | 22.22 | 0.0 | 100.0
4-note-ratio | 27.06 | 32.35 | 14.29 | 0.0 | 100.0

##### FILE-SPECIFIC N-GRAM REPETITIONS #####
Filename | 2-note | 3-note | 4-note | 2-note-ratio | 3-note-ratio | 4-note-ratio
track2_infill_bars121_125_generationtime_14.374381303787231.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars121_125_generationtime_14.790964841842651.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars121_125_generationtime_87.1634030342102.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars123_127_generationtime_10.443595170974731.midi | 1 | 0 | 0 | 50.00 | 0.00 | 0.00
track2_infill_bars123_127_generationtime_14.700076580047607.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars123_127_generationtime_43.14455604553223.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars124_128_generationtime_13.817741394042969.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars124_128_generationtime_8.968065738677979.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars12_16_generationtime_25.468878984451294.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars12_16_generationtime_5.610000371932983.midi | 1 | 1 | 1 | 16.67 | 14.29 | 14.29
track2_infill_bars12_16_generationtime_6.585295677185059.midi | 1 | 1 | 1 | 16.67 | 14.29 | 14.29
track2_infill_bars138_142_generationtime_12.016365766525269.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars138_142_generationtime_7.740434408187866.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars138_142_generationtime_9.60545802116394.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars141_145_generationtime_13.253891468048096.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
track2_infill_bars141_145_generationtime_6.320584774017334.midi | 3 | 1 | 0 | 75.00 | 33.33 | 0.00
track2_infill_bars141_145_generationtime_9.674744606018066.midi | 0 | 0 | 0 | 0.00 | 0.00 | 0.00
