##### TRACK CONTEXT vs INFILLING STATS #####
Filename | Context Mean | Context Std. Dev. | Context Max | Context Min | Infilling Mean | Infilling Std. Dev. | Infilling Max | Infilling Min
track1_infill_bars44_48_generationtime_8.532719850540161.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars47_51_generationtime_8.15099310874939.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars47_51_generationtime_8.285994052886963.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars47_51_generationtime_8.380992650985718.midi | 8.00 | 0.00 | 8 | 8 | 8.00 | 0.00 | 8 | 8
track1_infill_bars55_59_generationtime_7.448165416717529.midi | 8.00 | 0.00 | 8 | 8 | 6.50 | 3.00 | 8 | 2
track1_infill_bars55_59_generationtime_7.865380525588989.midi | 8.00 | 0.00 | 8 | 8 | 6.00 | 2.83 | 8 | 2
track1_infill_bars55_59_generationtime_8.712509393692017.midi | 8.00 | 0.00 | 8 | 8 | 6.50 | 3.00 | 8 | 2
track1_infill_bars60_64_generationtime_6.627534866333008.midi | 7.00 | 1.51 | 8 | 4 | 6.50 | 3.00 | 8 | 2
track1_infill_bars60_64_generationtime_6.836092948913574.midi | 7.00 | 1.51 | 8 | 4 | 6.50 | 3.00 | 8 | 2
track1_infill_bars60_64_generationtime_7.280848741531372.midi | 7.00 | 1.51 | 8 | 4 | 6.50 | 3.00 | 8 | 2
track1_infill_bars64_68_generationtime_5.4419214725494385.midi | 6.75 | 2.38 | 8 | 2 | 5.25 | 2.22 | 8 | 3
track1_infill_bars64_68_generationtime_6.232459545135498.midi | 6.75 | 2.38 | 8 | 2 | 6.75 | 1.89 | 8 | 4
track1_infill_bars64_68_generationtime_6.355104923248291.midi | 6.75 | 2.38 | 8 | 2 | 5.50 | 1.91 | 8 | 4
track1_infill_bars7_11_generationtime_3.7455854415893555.midi | 1.00 | 0.00 | 1 | 1 | 2.25 | 1.89 | 5 | 1
track1_infill_bars7_11_generationtime_3.9102158546447754.midi | 1.00 | 0.00 | 1 | 1 | 2.75 | 1.50 | 4 | 1
track1_infill_bars7_11_generationtime_5.494253158569336.midi | 1.00 | 0.00 | 1 | 1 | 2.25 | 1.26 | 4 | 1
track1_infill_bars90_94_generationtime_3.8595998287200928.midi | 0.50 | 0.53 | 1 | 0 | 1.25 | 0.50 | 2 | 1
track1_infill_bars90_94_generationtime_5.2043657302856445.midi | 0.50 | 0.53 | 1 | 0 | 4.50 | 4.80 | 10 | 0
track1_infill_bars90_94_generationtime_5.40121865272522.midi | 0.50 | 0.53 | 1 | 0 | 5.00 | 4.08 | 9 | 1
track1_infill_bars92_96_generationtime_12.281847953796387.midi | 0.75 | 0.46 | 1 | 0 | 3.50 | 2.89 | 6 | 1
track1_infill_bars92_96_generationtime_27.902307748794556.midi | 0.75 | 0.46 | 1 | 0 | 7.00 | 4.00 | 9 | 1
track1_infill_bars92_96_generationtime_9.241183757781982.midi | 0.75 | 0.46 | 1 | 0 | 1.00 | 0.00 | 1 | 1
track1_infill_bars98_102_generationtime_5.183160781860352.midi | 0.50 | 0.53 | 1 | 0 | 2.00 | 0.82 | 3 | 1
track1_infill_bars98_102_generationtime_5.406962633132935.midi | 0.50 | 0.53 | 1 | 0 | 1.50 | 0.58 | 2 | 1
track1_infill_bars98_102_generationtime_5.535300970077515.midi | 0.50 | 0.53 | 1 | 0 | 3.00 | 1.15 | 4 | 2
track2_infill_bars106_110_generationtime_11.63060736656189.midi | 0.75 | 0.46 | 1 | 0 | 8.25 | 2.50 | 12 | 7
track2_infill_bars106_110_generationtime_6.460888385772705.midi | 0.75 | 0.46 | 1 | 0 | 5.50 | 3.32 | 8 | 1
track2_infill_bars106_110_generationtime_7.6717023849487305.midi | 0.75 | 0.46 | 1 | 0 | 2.50 | 2.08 | 5 | 0
track2_infill_bars108_112_generationtime_4.9673378467559814.midi | 1.25 | 0.46 | 2 | 1 | 4.00 | 0.00 | 4 | 4
track2_infill_bars108_112_generationtime_5.234547853469849.midi | 1.25 | 0.46 | 2 | 1 | 4.75 | 3.77 | 8 | 1
track2_infill_bars108_112_generationtime_6.902600049972534.midi | 1.25 | 0.46 | 2 | 1 | 6.75 | 6.50 | 16 | 1
track2_infill_bars10_14_generationtime_4.992671251296997.midi | 2.25 | 3.01 | 8 | 0 | 5.00 | 4.90 | 11 | 1
track2_infill_bars10_14_generationtime_5.7763917446136475.midi | 2.25 | 3.01 | 8 | 0 | 7.25 | 4.86 | 12 | 1
track2_infill_bars10_14_generationtime_6.491029977798462.midi | 2.25 | 3.01 | 8 | 0 | 9.25 | 5.50 | 12 | 1
track2_infill_bars115_119_generationtime_16.43198871612549.midi | 1.00 | 0.00 | 1 | 1 | 15.00 | 2.00 | 16 | 12
track2_infill_bars115_119_generationtime_5.480405807495117.midi | 1.00 | 0.00 | 1 | 1 | 3.25 | 1.71 | 5 | 1
track2_infill_bars115_119_generationtime_8.425776958465576.midi | 1.00 | 0.00 | 1 | 1 | 6.00 | 2.83 | 8 | 2
track2_infill_bars118_122_generationtime_8.166076898574829.midi | 1.25 | 0.46 | 2 | 1 | 5.50 | 4.65 | 10 | 1
track2_infill_bars118_122_generationtime_8.34553599357605.midi | 1.25 | 0.46 | 2 | 1 | 6.75 | 4.57 | 12 | 1
